algo,seed,embb_p5_mbps_normal,embb_p5_mbps_uniform_attn,timely_throughput_mbps_normal,timely_throughput_mbps_uniform_attn,sla_satisfaction_pct_normal,sla_satisfaction_pct_uniform_attn
gnn-madqn_gat,42,1.880298575,1.4856123312951666,69.53459120873332,69.289448980068,91.59022871227972,91.2690429825262
gnn-madqn_gat,43,1.9038206250000003,1.9038206250000003,68.35086391438608,68.35086391438608,90.00936703158627,90.00936703158627
gnn-madqn_gat,44,3.8358570098876955e-05,3.8358570098876955e-05,62.74731537248641,62.76567974904701,83.45574906372335,83.43278388562808
gnn-madqn_gat,45,3.8590609359741216e-05,3.8358570098876955e-05,69.44676436869918,70.25769801255797,91.33421449024613,92.31562101340616
gnn-madqn_gat,46,3.8358570098876955e-05,3.8358570098876955e-05,70.30914539933565,70.2890097103858,92.34809450957181,92.31993382403247
gnn-mappo_gat,42,0.5581582442893982,0.19063028138694765,44.84996501147819,58.036185124356834,61.66055827578217,77.86186523355201
gnn-mappo_gat,43,1.91268685,1.9124818500000003,17.785672469197806,11.243212509277276,27.802730191449932,19.786246450887727
gnn-mappo_gat,44,1.91268685,1.91268685,0.00020260435414385405,0.00020260435414385405,5.447616330343477,5.447616330343477
gnn-mappo_gat,45,1.91268685,1.91268685,0.00020260435414385405,0.00020260435414385405,5.447616330343477,5.447616330343477
gnn-mappo_gat,46,1.7165517380741118,1.792554175,69.40922674606244,70.1924674942658,91.32242780085289,92.1656810476725
